,Unnamed: 0,officeName,pincode,stateName,districtName,taluk,lat,lng
240,240,Krishi Bhawan S.O,110001,DELHI,Central Delhi,New Delhi,0,0
241,241,Lady Harding Medical College S.O,110001,DELHI,Central Delhi,New Delhi,0,0
242,242,Master Prithvi Nath Marg S.O,110005,DELHI,Central Delhi,New Delhi,28.6303407,77.2848935
243,243,Minto Road S.O,110002,DELHI,Central Delhi,New Delhi,28.6409055,77.2258043
244,244,Multani Dhanda S.O,110055,DELHI,Central Delhi,New Delhi,0,0
245,245,National Physical Laboratory S.O,110012,DELHI,Central Delhi,New Delhi,28.5626871,77.2391656
246,246,Nirman Bhawan S.O,110011,DELHI,Central Delhi,New Delhi,28.6350273,77.2872061
247,247,North Avenue S.O,110001,DELHI,Central Delhi,New Delhi,28.7483894,77.2060241
248,248,Pahar Ganj S.O,110055,DELHI,Central Delhi,New Delhi,28.6576948,77.208372
249,249,Pandara Road S.O,110003,DELHI,Central Delhi,New Delhi,28.6059896,77.2307423
250,250,Parliament House S.O,110001,DELHI,Central Delhi,New Delhi,28.619523,77.2099257
251,251,Patel Nagar East S.O,110008,DELHI,Central Delhi,New Delhi,28.6449272,77.1765945
252,252,Patel Nagar S.O (Central Delhi),110008,DELHI,Central Delhi,New Delhi,28.6449272,77.1765945
253,253,Patel Nagar South S.O,110008,DELHI,Central Delhi,New Delhi,28.6449272,77.1765945
254,254,Patel Nagar West S.O,110008,DELHI,Central Delhi,New Delhi,28.6449272,77.1765945
255,255,Patiala House S.O,110001,DELHI,Central Delhi,New Delhi,29.3236949,76.2964224
256,256,Pragati Maidan Camp S.O,110001,DELHI,Central Delhi,New Delhi,28.7440939,77.1994425
257,257,Pragati Maidan S.O,110001,DELHI,Central Delhi,New Delhi,28.7440939,77.1994425
258,258,Rail Bhawan S.O,110001,DELHI,Central Delhi,New Delhi,26.8467088,80.9461592
259,259,Rajender Nagar S.O,110060,DELHI,Central Delhi,New Delhi,28.0504216,76.4688939
260,260,Rashtrapati Bhawan S.O,110004,DELHI,Central Delhi,New Delhi,0,0
261,261,Sansad Marg H.O,110001,DELHI,Central Delhi,New Delhi,28.6187746,77.2096521
262,262,Sansadiya Soudh S.O,110001,DELHI,Central Delhi,New Delhi,0,0
263,263,Sat Nagar S.O,110005,DELHI,Central Delhi,New Delhi,0,0
264,264,Secretariat North S.O,110001,DELHI,Central Delhi,New Delhi,0,0
